2024-04-26 13:15:08.646474
dataset='chess'
prog='LeeBCC'
max_runs=1000
max_secs=40000

graph size: N=6250, E=54884
Subgraphing: bcc
Graph read time:
0.30071344994939864

Current memory usage:
M: 196.234375
Run times:
RS: 6250
T: 177.8686453329865
M: 538.484375

RS: 6250
T: 150.4790309111122
M: 645.76953125

RS: 6250
T: 151.17538295709528
M: 646.9609375

RS: 6250
T: 204.34617356490344
M: 648.9453125

RS: 6250
T: 213.55648579192348
M: 649.6171875

RS: 6250
T: 212.4831422790885
M: 656.0390625

RS: 6250
T: 212.12837544386275
M: 663.5546875

RS: 6250
T: 212.33532736403868
M: 665.88671875

RS: 6250
T: 210.28004127601162
M: 666.26953125

RS: 6250
T: 211.28463801112957
M: 665.91796875

RS: 6250
T: 211.01409386703745
M: 663.234375

RS: 6250
T: 212.39316255506128
M: 651.81640625

RS: 6250
T: 212.93447245610878
M: 659.19921875

RS: 6250
T: 211.3387840760406
M: 663.9765625

RS: 6250
T: 210.5064241848886
M: 666.03515625

RS: 6250
T: 212.46875221305527
M: 667.05859375

RS: 6250
T: 212.3597736619413
M: 668.29296875

RS: 6250
T: 200.36901231179945
M: 671.69921875

RS: 6250
T: 210.67669423413463
M: 674.88671875

RS: 6250
T: 210.6187938770745
M: 674.88671875

RS: 6250
T: 211.91304040397517
M: 674.625

RS: 6250
T: 213.30323986592703
M: 674.625

RS: 6250
T: 213.78394412412308
M: 675.28125

RS: 6250
T: 214.33662606799044
M: 675.18359375

RS: 6250
T: 214.50257101398893
M: 675.06640625

RS: 6250
T: 214.73650760110468
M: 675.44140625

RS: 6250
T: 214.27870871685445
M: 675.44140625

RS: 6250
T: 214.66499860095792
M: 675.06640625

RS: 6250
T: 214.26471064705402
M: 675.44140625

RS: 6250
T: 213.4145495770499
M: 675.06640625

RS: 6250
T: 211.24388880981132
M: 675.50390625

RS: 6250
T: 212.2692547000479
M: 675.55859375

RS: 6250
T: 212.54731347900815
M: 675.55859375

RS: 6250
T: 212.26751723699272
M: 675.06640625

RS: 6250
T: 212.93709063506685
M: 675.44140625

RS: 6250
T: 212.7249341988936
M: 675.06640625

RS: 6250
T: 212.08801445900463
M: 675.5546875

RS: 6250
T: 212.56693775602616
M: 675.18359375

RS: 6250
T: 212.62009560898878
M: 675.0703125

RS: 6250
T: 212.6257931420114
M: 675.44140625

RS: 6250
T: 212.22929541487247
M: 675.06640625

RS: 6250
T: 212.88272142782807
M: 675.06640625

RS: 6250
T: 211.0831982831005
M: 675.12890625

RS: 6250
T: 212.38820580183528
M: 675.18359375

RS: 6250
T: 212.26487331907265
M: 675.18359375

RS: 6250
T: 212.67463443195447
M: 675.44140625

RS: 6250
T: 212.55022104387172
M: 675.06640625

RS: 6250
T: 212.06237550615333
M: 675.06640625

RS: 6250
T: 210.7232324469369
M: 675.06640625

RS: 6250
T: 211.36356596299447
M: 675.1796875

RS: 6250
T: 213.0239603589289
M: 675.44140625

RS: 6250
T: 213.3791676480323
M: 675.06640625

RS: 6250
T: 212.92035631998442
M: 675.44140625

RS: 6250
T: 211.71951925195754
M: 675.1796875

RS: 6250
T: 214.62078601005487
M: 675.18359375

RS: 6250
T: 215.33108908403665
M: 675.55859375

RS: 6250
T: 228.66953275701962
M: 675.06640625

RS: 6250
T: 223.41898420406505
M: 675.44140625

RS: 6250
T: 222.42872057505883
M: 675.06640625

RS: 6250
T: 221.3743582610041
M: 675.44140625

RS: 6250
T: 221.9708300200291
M: 675.44140625

RS: 6250
T: 225.90686531807296
M: 675.44140625

RS: 6250
T: 237.8757954519242
M: 675.44140625

RS: 6250
T: 235.12833074084483
M: 675.44140625

RS: 6250
T: 236.70102803385817
M: 675.44140625

RS: 6250
T: 234.33825598703697
M: 675.50390625

RS: 6250
T: 236.57405276899226
M: 675.5546875

RS: 6250
T: 236.09816568600945
M: 675.0703125

RS: 6250
T: 239.51336196716875
M: 675.06640625

RS: 6250
T: 240.06256067892537
M: 675.06640625

RS: 6250
T: 238.3735337560065
M: 675.87109375

RS: 6250
T: 244.2142282151617
M: 676.7890625

RS: 6250
T: 241.3476698040031
M: 676.67578125

RS: 6250
T: 245.40112989000045
M: 661.19140625

RS: 6250
T: 248.3447215319611
M: 661.19140625

RS: 6250
T: 250.93528723996133
M: 663.53125

RS: 6250
T: 245.0217503278982
M: 667.55078125

RS: 6250
T: 246.52394978608936
M: 669.7890625

RS: 6250
T: 246.14974163100123
M: 672.77734375

RS: 6250
T: 245.1788240589667
M: 673.70703125

RS: 6250
T: 244.56188596785069
M: 674.359375

RS: 6250
T: 244.20494037796743
M: 675.12890625

RS: 6250
T: 245.18086067494005
M: 675.12890625

RS: 6250
T: 245.231135528069
M: 675.12890625

RS: 6250
T: 245.25709578418173
M: 675.6171875

RS: 6250
T: 241.83212279411964
M: 675.62109375

RS: 6250
T: 240.05827681394294
M: 675.12890625

